official_name,lat,lon,Code,School Address,Public or Private,School Sponsor,Girls/Boys/Mixed,Day or Boarding,Ordinary or Special,Total Enrolment 2007,Total Teaching staff,Pupil Teacher Ratio,Acreage per enrolment,TSC Male Teachers,TSC Female Teachers,Local Authority Male Teachers,Local Authority Female Teachers,PTA Board of Governors Male Teacher,PTA Board of Governors Female Teacher,Other Male Teachers,Other Female Teachers,Non Teaching Staff Male,Non Teaching Staff Female,Acreage,District,Location,Sublocation,School Zone,Costituency,Province
GLORY SEC. SCH.,-1.309155, 36.795117,R1010277,66958-00200,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,157,13,12.1,314.0,0,0,0,0,0,0,8,5,4,0,0.5,KIBERA,LAINI SABA,LAINI SABA,KAREN,LANGATA,NAIROBI
KIBERA ACADEMY-SEC SCH,-1.308246, 36.787668,R1010284,2223-  NAIROBI,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,119,10,11.9,59.5,0,0,0,0,6,4,0,0,2,2,2,KIBERA,KIBERA,KIBERA,KAREN,LANGATA,NAIROBI
MASHIMONI CALVARY HIGH SCH,-1.309757, 36.789668,R1010286,,PRIVATE,RELIGIOUS ORGANIZATION,,,ORDINARY,0,0,,,0,0,0,0,0,0,0,0,0,0,0,KIBERA,KIBERA,KIBERA,,LANGATA,NAIROBI
ST AUGUSTUS SEC SCH,-1.312164, 36.789371,R1010289,21717-00500,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,61,9,6.8,20.3,0,0,0,0,5,4,0,0,2,2,3,KIBERA,KIBERA,LAINI SABA,KAREN,LANGATA,NAIROBI
JOHN PAUL MIXED SEC SCH,-1.309352, 36.792273,R1010370,21188-00505,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,,ORDINARY,130,10,13.0,,0,0,0,0,0,0,5,5,2,1,0,KIBERA,LAINI SABA,LAINI SABA,KAREN,LANGATA,NAIROBI
SOWETO BAPTIST HGH SCH,-1.31209, 36.799824,R1010382,20831-NRB,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,189,8,23.6,,0,0,0,0,8,0,0,0,1,2,0,KIBERA,LAINI SABA,NYAYO HIGHRISE,KAREN,LANGATA,NAIROBI
ST GABRIEL SEC SCH,-1.314088, 36.799257,R1010385,21717 NRB,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,206,13,15.8,68.7,0,0,0,0,0,0,7,6,1,3,3,KIBERA,LAINI SABA,NYAYO HIGHRISE,KAREN,LANGATA,NAIROBI
PCEA SILANGA SEC SCH,-1.314894, 36.796392,R1010391,19742-00202 NAIROBI,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,91,6,15.2,91.0,0,0,0,0,4,2,0,0,1,1,1,KIBERA,KIBERA,SILANGA,NAIROBI WEST,LANGATA,NAIROBI
ST TERESA MIXED DAY,-1.312992, 36.793535,R1010402,5873 -00100,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,53,7,7.6,106.0,0,0,0,0,5,2,0,0,2,1,0.5,KIBERA,KIBERA,LINDI,KAREN,LANGATA,NAIROBI
FIVE STARS HIGH SCH,-1.311392, 36.783374,R1010413,,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,12,0.0,0.0,0,0,0,0,8,4,0,0,1,1,0.5,KIBERA,SERA NGOMBE,LAINI SABA,KAREN,LANGATA,NAIROBI
BARAKA ZA IBRAHIM CENTER SEC SCH,-1.312401, 36.783829,R1010416,6340-00100 NRB,PRIVATE,COMMUNITY,MIXED,DAY & BOARDING,INTEGRATED,73,8,9.1,29.2,0,0,0,0,0,0,6,2,5,6,2.5,KIBERA,SERA NGOMBE,GATWIKIRA,KAREN,LANGATA,NAIROBI
ST CHARLES LWANGA SEC SCH,-1.31615, 36.780411,R1010431,76510 00508 NRB,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY ONLY,ORDINARY,52,3,17.3,10.4,0,0,0,0,0,0,2,1,0,0,5,KIBERA,MUGUMOINI,BOMAS,KAREN,LANGATA,NAIROBI
MAONO ED CENTRE SEC SCH,-1.314495, 36.775831,R1010443,17912 NRB,PRIVATE,COMMUNITY,MIXED,DAY ONLY,ORDINARY,22,7,3.1,88.0,0,0,0,0,0,0,7,0,0,0,0.25,KIBERA,MUGUMOINI,BOMAS,KAREN,LANGATA,NAIROBI
