official_name,lat,lon
RISA CHILDRENS CENTER PRI,-1.307718, 36.788657
HURUMA KIBERA PRI. SCH,-1.30724, 36.788968
CAVALRY PRI. SCH.,-1.306231, 36.789141
MAKINA BAPTIST PRI. SCH,-1.305835, 36.789196
MAKINA SELF HELP PRI. SCH.,-1.305073, 36.78914
NEW ADVENTURE PRI. SCH,-1.305218, 36.78946
KICOSHEP PRI. SCH,-1.306744, 36.79114
MASHIMONI FRIENDS PRI. SCH,-1.307029, 36.790792
MASHIMONI PRI SCH.,-1.307391, 36.790351
GOODNEWS ACADEMY- PRI,-1.307009, 36.7931221
JAKES CENTER- PRI. SCH,-1.307206, 36.793986
FRANK EDUCATIONAL CENTER - PRIMARY SCH.,-1.30793, 36.795594
GLORY PRI. SCH,-1.308486, 36.795544
KIBERA CHURCH OF GOD PRI SCH,-1.308289, 36.794175
LAINI SABA PRI. SCH,-1.307685, 36.793546
MASHIMONI SQUATTERS PRI. SCH,-1.309757, 36.789668
KISUMU NDOGO PRI SCH,-1.310996, 36.788292
LINDI PRI. SCH,-1.312024, 36.790161
ANWARJUNOIR ACADEMY,-1.311783, 36.792589
SILOAM FRIENDS MINISTRIES ACADEMY- PRI,-1.314477, 36.796953
DRUG FIGHTERS PRI SCH,-1.310584, 36.792426
MARANATHA LAINI SABA PRI SCH,-1.310351, 36.792681
HOPE RESTORATION PRI SCH,-1.309019, 36.792088
PATMOS PRI SCH,-1.308374, 36.791867
ST JOHNS ESCAPE PRI SCH,-1.307446, 36.791408
KIBERA FREE METHODIST ACADEMY,-1.310417, 36.793867
SOWETO BAPTIST PRI SCH,-1.312875, 36.802638
VICTORIA HOPE CHILDREN CENTRE PRI SCH,-1.313157, 36.802069
KIBERA BLESSED ACADEMY - PRI,-1.313058, 36.801083
ST GABRIEL PRI SCH,-1.314088, 36.799257
UNDUGU BASIC ED PROGRAMME KIBERA,-1.314793, 36.799025
KIBERA SILANGA USHIRIKA GROUP PRI SCH,-1.315975, 36.797908
BEMACA ACADEMY - PRI,-1.314811, 36.794189
ST JOHN SCH KIBREA PRI,-1.316038, 36.795264
ST PHILIPE PRI SCH,-1.316379, 36.793574
KIBERA SILANGA BIBLE BAPTIST PRI SCH,-1.315809, 36.793682
MOC PRI SCH,-1.313182, 36.794365
LINDI USHIRIKA WA USAFI NA MAENDELEO-PRI SCH,-1.312411, 36.789482
ST JUDY ACADEMY PRI SCH.,-1.311957, 36.7811161
BETHEL CHILDREN CENTRE PRI SCH,-1.311743, 36.783035
BARAKA ZA IBRAHIM CHLDREN CENTER-PRI SCH,-1.312401, 36.783829
CANA JUNOIR ACADEMY PRI,-1.312382, 36.784524
NEEMA PRI SCH,-1.312373, 36.78547
GATWEKERA MISSIONARIES OF CHARITY PRI SCH,-1.312258, 36.78161
GUUM PRI SCH,-1.313273, 36.781421
ST CHARLES LWANGA PRI SCH,-1.31615, 36.780411
ANAJALI PRI SCH,-1.316309, 36.778494
ST CATHERINE COMM CENTER PRI SCH,-1.316309, 36.778494
MISSIONARIES OF CHARITY BROTHERS PRI SCH,-1.307214, 36.77183
JAMII ACADEMY PRI,-1.311287, 36.78057
DALUZA PRI SCH,-1.311754, 36.779994
SEED JUNIOR ACADEMY PRI,-1.316141, 36.779135
HOYWICK ACADEMY PRI,-1.316341, 36.778698
BETHSAIDA ACADEMY PRI,-1.316668, 36.777584
LIFESPRING CHRISTIAN ACADMY PRI,-1.314553, 36.786538
WHITE STAR ACADEMY PRI,-1.318465, 36.798216
MITUMBA PRI SCH,-1.324708, 36.821601
REM SCH PRI,-1.325198, 36.822693
SAOMI ACADEMY PRI,-1.327867, 36.824287
MERCIFUL REDEEMER HOME ACADEMY PRI,-1.327872, 36.823678
CHAMREC CHILDRENS CENTER PRI,-1.327872, 36.823678
WHITE STAR ACADEMY- HIGHRISE PRI,-1.313587, 36.802924
ST AUGUSTUS PRI SCH,-1.312037, 36.789535
HOUSE OF HOPE PRI SCH,-1.347783, 36.902044
HOUSE OF HOPE PRI SCH,-1.347783, 36.902044
